지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),평균 전운량(1/10),안개 계속시간(hr)
98,동두천,2023-06-01,21.4,,0.8,73.1,,,7.3,
98,동두천,2023-06-02,19.6,,1.3,82.4,,,2.4,
98,동두천,2023-06-03,21.1,,2,61.9,,,0.5,
98,동두천,2023-06-04,20.9,,1.7,59.3,,,3.4,
98,동두천,2023-06-05,20.4,,2.1,69.8,,,4.9,
98,동두천,2023-06-06,19.6,0,1.6,76.4,,,7.5,
98,동두천,2023-06-07,20.8,0.2,1.4,79.8,,,7.6,
98,동두천,2023-06-08,19.5,28.9,1.6,85.5,,,8.6,
98,동두천,2023-06-09,20.5,6.7,0.8,73.8,,,2.8,
98,동두천,2023-06-10,20.1,12.7,1.1,83.3,,,7.5,
98,동두천,2023-06-11,20.8,6.5,0.6,83.8,,,5.8,
98,동두천,2023-06-12,20.8,0,1,83.1,,,6.1,
98,동두천,2023-06-13,20.5,0.4,1.3,78.6,,,4.3,
98,동두천,2023-06-14,19.5,3.4,0.6,80.5,,,4.8,
98,동두천,2023-06-15,21.7,,0.9,76.1,,,4.3,
98,동두천,2023-06-16,22.7,,1.2,72.4,,,1.3,
98,동두천,2023-06-17,22.9,,1.2,66.8,,,3.8,
98,동두천,2023-06-18,24.6,,0.8,74.3,,,3.8,
98,동두천,2023-06-19,26.6,,0.8,68.5,,,3.8,
98,동두천,2023-06-20,22.9,3.8,0.7,82.4,,,9.3,
98,동두천,2023-06-21,19,19.4,0.5,96.4,,,7.6,
98,동두천,2023-06-22,20.6,6,0.9,86.1,,,5.1,
98,동두천,2023-06-23,22.5,,0.4,83.9,,,4.5,
98,동두천,2023-06-24,24.9,,0.6,79,,,1.3,
98,동두천,2023-06-25,26.4,,0.5,74.4,,,3.8,
98,동두천,2023-06-26,22.9,28.5,1.4,93.5,,,9.6,
98,동두천,2023-06-27,23.1,1.4,2.3,85.3,,,6.8,
98,동두천,2023-06-28,25,,1.1,84.5,,,6.8,
98,동두천,2023-06-29,23.5,79.5,0.8,97.1,,,8.9,
98,동두천,2023-06-30,24.5,21,0.7,91.1,,,5.6,
98,동두천,2023-07-01,26.6,,0.8,83.6,,,1.5,
98,동두천,2023-07-02,25.8,,0.8,86,,,5.9,
98,동두천,2023-07-03,27.3,,0.5,80.4,,,3,
98,동두천,2023-07-04,25.1,43.7,1.4,90.8,,,8.6,
98,동두천,2023-07-05,23.5,10.8,2.9,89.3,,,4.6,
98,동두천,2023-07-06,26.2,,2.1,78.3,,,7.3,
98,동두천,2023-07-07,25.6,,1.1,72.8,,,4.6,
98,동두천,2023-07-08,25.1,0,1.1,80.6,,,4.6,
98,동두천,2023-07-09,23.7,12.1,1.2,89,,,7.3,
98,동두천,2023-07-10,26.1,0,1.7,84.8,,,6,
98,동두천,2023-07-11,22.3,65.3,0.8,96.3,,,7.8,
98,동두천,2023-07-12,24.6,8.3,0.3,92.9,,,8.5,
98,동두천,2023-07-13,24.2,53.4,0.5,96.6,,,9.9,
98,동두천,2023-07-14,24.1,48,1.1,99.3,,,,
98,동두천,2023-07-15,24.1,19.5,1,96.3,,,8.6,
98,동두천,2023-07-16,23.5,2.7,0.6,94.3,,,9.6,
98,동두천,2023-07-17,23.6,0.9,1,96,,,9.8,
98,동두천,2023-07-18,24.6,0.8,0.7,93,,,8,
98,동두천,2023-07-19,26.3,,0.8,84,,,1.9,
98,동두천,2023-07-20,26.8,,0.8,81.3,,,2.9,
98,동두천,2023-07-21,27.6,,0.7,79.4,,,2.6,
98,동두천,2023-07-22,26.5,4.6,1.8,80.4,,,5,
98,동두천,2023-07-23,24.2,34.8,1.9,97.6,,,9.9,
98,동두천,2023-07-24,26.1,0,1.3,89.8,,,6.4,
98,동두천,2023-07-25,26.4,0.8,1.5,88.4,,,7.4,
98,동두천,2023-07-26,25.1,49.9,1.1,93.6,,,6.5,
98,동두천,2023-07-27,27.5,,0.9,84.3,,,5.3,
98,동두천,2023-07-28,27.4,,1,84.1,,,3.1,
98,동두천,2023-07-29,27.3,0,1,81.1,,,5.3,
98,동두천,2023-07-30,28.1,,0.7,76.6,,,5.3,
98,동두천,2023-07-31,27.9,,0.8,82.6,,,5.6,
98,동두천,2023-08-01,28.6,,0.8,80.3,,,4.6,
98,동두천,2023-08-02,27.6,,1.1,81,,,5.8,
98,동두천,2023-08-03,27.4,,1.2,80.4,,,4.3,
98,동두천,2023-08-04,27.9,,1,79.8,,,4.1,
98,동두천,2023-08-05,28.2,,0.8,81.5,,,4.3,
98,동두천,2023-08-06,28.5,0,0.8,84.6,,,7.1,
98,동두천,2023-08-07,28.3,,1.1,77.6,,,5,
98,동두천,2023-08-08,28.6,,1.2,73.8,,,4,
98,동두천,2023-08-09,25.5,1.1,1.4,84,,,8.5,
98,동두천,2023-08-10,21.1,55.7,1.8,95.5,,,9,
98,동두천,2023-08-11,21.9,33.3,1.5,97,,,9.9,
98,동두천,2023-08-12,22.6,10.7,1,94,,,8.3,
98,동두천,2023-08-13,25.5,0,0.6,89.1,,,8.9,
98,동두천,2023-08-14,26.7,,0.8,85.3,,,4.6,
98,동두천,2023-08-15,26.5,,0.8,83.1,,,6.5,
98,동두천,2023-08-16,25.9,,0.7,81.8,,,5,
98,동두천,2023-08-17,26.5,,0.6,82.9,,,3.9,
98,동두천,2023-08-18,27.3,1.1,0.6,85.8,,,4.9,
98,동두천,2023-08-19,27.9,0,0.8,81.9,,,4.4,
98,동두천,2023-08-20,26.5,0,0.7,86.1,,,6.8,
98,동두천,2023-08-21,27.4,1.2,1,84.6,,,6.5,
98,동두천,2023-08-22,25.9,22.8,1.4,93.9,,,7.9,
98,동두천,2023-08-23,23.4,53.8,0.9,97.8,,,9.8,
98,동두천,2023-08-24,23.5,13.7,0.8,93.6,,,7.8,
98,동두천,2023-08-25,25.5,,1.4,86,,,4.8,
98,동두천,2023-08-26,24.1,,0.7,84.6,,,5.8,
98,동두천,2023-08-27,24.1,0,0.6,86.6,,,8,
98,동두천,2023-08-28,21.9,14.2,1.4,91,,,10,
98,동두천,2023-08-29,22.8,47.8,1.7,95.8,,,9.8,
98,동두천,2023-08-30,22.1,0.5,0.5,92.4,,,8.3,
98,동두천,2023-08-31,22.5,,0.7,85,,,5.3,
98,동두천,2023-09-01,22,,0.7,80.8,,,2.6,
98,동두천,2023-09-02,22.6,,0.6,79.1,,,5.4,
98,동두천,2023-09-03,24,,0.7,87.1,,,7.9,
98,동두천,2023-09-04,25.4,1.7,0.8,89.8,,,9.3,
98,동두천,2023-09-05,26.4,,0.7,82.6,,,4.1,
98,동두천,2023-09-06,25.3,,0.9,78.8,,,2,
98,동두천,2023-09-07,23.5,,0.8,71.4,,,0,
98,동두천,2023-09-08,22.4,,0.7,74.3,,,0.9,
98,동두천,2023-09-09,23.7,,0.7,79,,,2.9,
98,동두천,2023-09-10,23.5,,0.7,84.9,,,6.5,
98,동두천,2023-09-11,23.8,,0.8,80.3,,,6,
98,동두천,2023-09-12,23.3,,0.6,82.8,,,6.8,
98,동두천,2023-09-13,20.3,16.5,0.6,95.8,,,10,
98,동두천,2023-09-14,21.8,,0.9,84.6,,,7.9,
98,동두천,2023-09-15,21.5,1.1,0.7,89.5,,,10,
98,동두천,2023-09-16,23.1,8.7,0.5,94.3,,,9.4,
98,동두천,2023-09-17,23.6,2.9,0.7,91.5,,,8.3,
98,동두천,2023-09-18,23.5,1.5,0.9,88.6,,,6,
98,동두천,2023-09-19,22.8,,1,89.4,,,8.1,
98,동두천,2023-09-20,19.8,8,0.8,95.1,,,9.4,
98,동두천,2023-09-21,18.2,0,1,79.6,,,7.5,
98,동두천,2023-09-22,17.7,,0.6,78.8,,,2.8,
98,동두천,2023-09-23,19.6,,0.9,75.4,,,4.4,
98,동두천,2023-09-24,19.5,,1.1,66.5,,,4.6,
98,동두천,2023-09-25,19.7,1.8,0.6,80,,,9.1,
98,동두천,2023-09-26,19.4,12.2,0.4,98.5,,,7.3,
98,동두천,2023-09-27,20.5,1.8,0.6,95.4,,,6.9,
98,동두천,2023-09-28,21.2,,1,86.3,,,4.5,
98,동두천,2023-09-29,18.9,,0.7,74.1,,,8.1,
98,동두천,2023-09-30,17.9,0.1,1,85.4,,,6.8,
98,동두천,2023-10-01,15.9,,1,68.8,,,1.5,
98,동두천,2023-10-02,15.4,,0.7,69.9,,,2.3,
98,동두천,2023-10-03,15.2,,0.7,80.4,,,7.6,
98,동두천,2023-10-04,14.8,5.9,0.8,86.3,,,6.1,
98,동두천,2023-10-05,13.2,,1.3,49.3,,,2.4,
98,동두천,2023-10-06,12.6,,0.6,70.5,,,5.1,
98,동두천,2023-10-07,14.3,,0.7,76,,,7.9,
98,동두천,2023-10-08,15.4,0,0.6,80.5,,,8.3,
98,동두천,2023-10-09,15.6,0,0.6,78,,,7.9,
98,동두천,2023-10-10,14.4,,0.7,84.6,,,3.5,
98,동두천,2023-10-11,15,,0.7,70,,,0.4,
98,동두천,2023-10-12,15.3,,0.5,74.3,,,2.5,
98,동두천,2023-10-13,15.5,,0.6,80.1,,,8,
98,동두천,2023-10-14,12.3,3.7,0.4,93.4,,,6.1,
98,동두천,2023-10-15,13.5,,0.7,91.1,,,4.3,
98,동두천,2023-10-16,12.7,,0.8,74.5,,,0.9,
98,동두천,2023-10-17,10.9,,0.6,65.5,,,0,
98,동두천,2023-10-18,13.9,,1.2,76.5,,,6.8,
98,동두천,2023-10-19,16.1,5.1,1.2,88.8,,,8.3,
98,동두천,2023-10-20,10.8,,2.2,46,,,1.5,
98,동두천,2023-10-21,8.4,0.7,1.3,61.8,,,1.4,
98,동두천,2023-10-22,9.9,,0.9,75.3,,,2.6,
98,동두천,2023-10-23,12.6,,0.7,82.8,,,3.5,
